geometry,count,time
"POLYGON ((-77.55849671333333 -59.98949700000001, -76.45150442666666 -59.98949700000001, -76.45150442666666 -57.59027784000001, -77.55849671333333 -57.59027784000001, -77.55849671333333 -59.98949700000001))",60,2022-12-23T05:06:03.000Z
"POLYGON ((-77.55849671333333 -57.59027784000001, -76.45150442666666 -57.59027784000001, -76.45150442666666 -55.19105868000001, -77.55849671333333 -55.19105868000001, -77.55849671333333 -57.59027784000001))",60,2022-12-23T05:06:03.000Z
"POLYGON ((-77.55849671333333 -55.19105868000001, -76.45150442666666 -55.19105868000001, -76.45150442666666 -52.79183952000001, -77.55849671333333 -52.79183952000001, -77.55849671333333 -55.19105868000001))",30,2022-12-23T05:05:36.000Z
"POLYGON ((-77.55849671333333 -52.79183952000001, -76.45150442666666 -52.79183952000001, -76.45150442666666 -50.39262036000002, -77.55849671333333 -50.39262036000002, -77.55849671333333 -52.79183952000001))",30,2022-12-23T05:05:36.000Z
"POLYGON ((-77.55849671333333 -50.39262036000002, -76.45150442666666 -50.39262036000002, -76.45150442666666 -47.99340120000002, -77.55849671333333 -47.99340120000002, -77.55849671333333 -50.39262036000002))",30,2022-12-23T05:05:36.000Z
"POLYGON ((-77.55849671333333 -47.99340120000002, -76.45150442666666 -47.99340120000002, -76.45150442666666 -45.59418204000002, -77.55849671333333 -45.59418204000002, -77.55849671333333 -47.99340120000002))",30,2022-12-23T05:05:36.000Z
"POLYGON ((-77.55849671333333 -38.39652456000002, -76.45150442666666 -38.39652456000002, -76.45150442666666 -35.99730540000002, -77.55849671333333 -35.99730540000002, -77.55849671333333 -38.39652456000002))",21,2022-12-26T03:51:26.000Z
"POLYGON ((-77.55849671333333 -35.99730540000002, -76.45150442666666 -35.99730540000002, -76.45150442666666 -33.59808624000001, -77.55849671333333 -33.59808624000001, -77.55849671333333 -35.99730540000002))",21,2022-12-26T03:51:26.000Z
"POLYGON ((-77.55849671333333 -33.59808624000001, -76.45150442666666 -33.59808624000001, -76.45150442666666 -31.19886708000001, -77.55849671333333 -31.19886708000001, -77.55849671333333 -33.59808624000001))",21,2022-12-26T03:51:26.000Z
"POLYGON ((-77.55849671333333 -31.19886708000001, -76.45150442666666 -31.19886708000001, -76.45150442666666 -28.79964792000001, -77.55849671333333 -28.79964792000001, -77.55849671333333 -31.19886708000001))",48,2022-12-26T03:51:26.000Z
"POLYGON ((-77.55849671333333 -28.79964792000001, -76.45150442666666 -28.79964792000001, -76.45150442666666 -26.40042876000001, -77.55849671333333 -26.40042876000001, -77.55849671333333 -28.79964792000001))",48,2022-12-26T03:51:26.000Z
"POLYGON ((-77.55849671333333 -26.40042876000001, -76.45150442666666 -26.40042876000001, -76.45150442666666 -24.00120960000001, -77.55849671333333 -24.00120960000001, -77.55849671333333 -26.40042876000001))",69,2022-12-26T03:51:00.000Z
"POLYGON ((-77.55849671333333 -24.00120960000001, -76.45150442666666 -24.00120960000001, -76.45150442666666 -21.60199044000001, -77.55849671333333 -21.60199044000001, -77.55849671333333 -24.00120960000001))",21,2022-12-21T23:31:24.000Z
"POLYGON ((-77.55849671333333 -21.60199044000001, -76.45150442666666 -21.60199044000001, -76.45150442666666 -19.20277128000001, -77.55849671333333 -19.20277128000001, -77.55849671333333 -21.60199044000001))",21,2022-12-21T23:31:24.000Z
"POLYGON ((-77.55849671333333 -19.20277128000001, -76.45150442666666 -19.20277128000001, -76.45150442666666 -16.80355212000001, -77.55849671333333 -16.80355212000001, -77.55849671333333 -19.20277128000001))",21,2022-12-21T23:31:24.000Z
"POLYGON ((-77.55849671333333 59.97146099999998, -76.45150442666666 59.97146099999998, -76.45150442666666 62.37068015999998, -77.55849671333333 62.37068015999998, -77.55849671333333 59.97146099999998))",31,2022-12-31T22:05:06.000Z
"POLYGON ((-77.55849671333333 148.74256992, -76.45150442666666 148.74256992, -76.45150442666666 151.14178908, -77.55849671333333 151.14178908, -77.55849671333333 148.74256992))",30,2022-12-27T12:48:44.000Z
"POLYGON ((-77.55849671333333 151.14178908, -76.45150442666666 151.14178908, -76.45150442666666 153.54100824, -77.55849671333333 153.54100824, -77.55849671333333 151.14178908))",59,2022-12-27T16:03:08.000Z
"POLYGON ((-77.55849671333333 153.54100824, -76.45150442666666 153.54100824, -76.45150442666666 155.9402274, -77.55849671333333 155.9402274, -77.55849671333333 153.54100824))",30,2022-12-27T12:48:44.000Z
"POLYGON ((-77.55849671333333 155.9402274, -76.45150442666666 155.9402274, -76.45150442666666 158.33944656, -77.55849671333333 158.33944656, -77.55849671333333 155.9402274))",60,2022-12-27T12:48:44.000Z
"POLYGON ((-77.55849671333333 158.33944656, -76.45150442666666 158.33944656, -76.45150442666666 160.73866572, -77.55849671333333 160.73866572, -77.55849671333333 158.33944656))",38,2022-12-27T12:48:18.000Z
"POLYGON ((-77.55849671333333 160.73866572, -76.45150442666666 160.73866572, -76.45150442666666 163.13788488, -77.55849671333333 163.13788488, -77.55849671333333 160.73866572))",34,2022-12-27T12:48:18.000Z
"POLYGON ((-77.55849671333333 163.13788488, -76.45150442666666 163.13788488, -76.45150442666666 165.53710404, -77.55849671333333 165.53710404, -77.55849671333333 163.13788488))",66,2022-12-27T12:48:18.000Z
"POLYGON ((-77.55849671333333 165.53710404, -76.45150442666666 165.53710404, -76.45150442666666 167.9363232, -77.55849671333333 167.9363232, -77.55849671333333 165.53710404))",36,2022-12-27T12:47:50.000Z
"POLYGON ((-77.55849671333333 167.9363232, -76.45150442666666 167.9363232, -76.45150442666666 170.33554236, -77.55849671333333 170.33554236, -77.55849671333333 167.9363232))",36,2022-12-27T12:47:50.000Z
