geometry,count
"POLYGON ((-78.66548899999999 11.98707779999998, -77.55849671333333 11.98707779999998, -77.55849671333333 14.38629695999998, -78.66548899999999 14.38629695999998, -78.66548899999999 11.98707779999998))",0
"POLYGON ((-78.66548899999999 14.38629695999998, -77.55849671333333 14.38629695999998, -77.55849671333333 16.78551611999998, -78.66548899999999 16.78551611999998, -78.66548899999999 14.38629695999998))",0
"POLYGON ((-78.66548899999999 16.78551611999998, -77.55849671333333 16.78551611999998, -77.55849671333333 19.18473527999998, -78.66548899999999 19.18473527999998, -78.66548899999999 16.78551611999998))",0
"POLYGON ((-78.66548899999999 19.18473527999998, -77.55849671333333 19.18473527999998, -77.55849671333333 21.58395443999999, -78.66548899999999 21.58395443999999, -78.66548899999999 19.18473527999998))",0
"POLYGON ((-78.66548899999999 21.58395443999999, -77.55849671333333 21.58395443999999, -77.55849671333333 23.98317359999999, -78.66548899999999 23.98317359999999, -78.66548899999999 21.58395443999999))",0
"POLYGON ((-78.66548899999999 23.98317359999999, -77.55849671333333 23.98317359999999, -77.55849671333333 26.38239275999999, -78.66548899999999 26.38239275999999, -78.66548899999999 23.98317359999999))",0
"POLYGON ((-78.66548899999999 26.38239275999999, -77.55849671333333 26.38239275999999, -77.55849671333333 28.78161191999999, -78.66548899999999 28.78161191999999, -78.66548899999999 26.38239275999999))",0
"POLYGON ((-78.66548899999999 28.78161191999999, -77.55849671333333 28.78161191999999, -77.55849671333333 31.18083107999999, -78.66548899999999 31.18083107999999, -78.66548899999999 28.78161191999999))",0
"POLYGON ((-78.66548899999999 31.18083107999999, -77.55849671333333 31.18083107999999, -77.55849671333333 33.58005023999999, -78.66548899999999 33.58005023999999, -78.66548899999999 31.18083107999999))",0
"POLYGON ((-78.66548899999999 33.58005023999999, -77.55849671333333 33.58005023999999, -77.55849671333333 35.97926939999999, -78.66548899999999 35.97926939999999, -78.66548899999999 33.58005023999999))",0
"POLYGON ((-78.66548899999999 35.97926939999999, -77.55849671333333 35.97926939999999, -77.55849671333333 38.37848855999999, -78.66548899999999 38.37848855999999, -78.66548899999999 35.97926939999999))",0
"POLYGON ((-78.66548899999999 38.37848855999999, -77.55849671333333 38.37848855999999, -77.55849671333333 40.77770772, -78.66548899999999 40.77770772, -78.66548899999999 38.37848855999999))",0
"POLYGON ((-78.66548899999999 40.77770772, -77.55849671333333 40.77770772, -77.55849671333333 43.17692688, -78.66548899999999 43.17692688, -78.66548899999999 40.77770772))",0
"POLYGON ((-78.66548899999999 43.17692688, -77.55849671333333 43.17692688, -77.55849671333333 45.57614604, -78.66548899999999 45.57614604, -78.66548899999999 43.17692688))",0
"POLYGON ((-78.66548899999999 45.57614604, -77.55849671333333 45.57614604, -77.55849671333333 47.9753652, -78.66548899999999 47.9753652, -78.66548899999999 45.57614604))",0
"POLYGON ((-78.66548899999999 47.9753652, -77.55849671333333 47.9753652, -77.55849671333333 50.37458436, -78.66548899999999 50.37458436, -78.66548899999999 47.9753652))",0
"POLYGON ((-78.66548899999999 50.37458436, -77.55849671333333 50.37458436, -77.55849671333333 52.77380351999997, -78.66548899999999 52.77380351999997, -78.66548899999999 50.37458436))",0
